SERIE NFe;NUMERO NFe;CNPJ FORN.;DATA EMISSAO;CFOP ENTRADA;VALOR TOTAL PROD.;VALOR TOTAL DA NFe;VALOR A PAGAR;CRÉD. IPI;CRÉD. ICMS;CRÉD. PIS;CRÉD. COFINS;CONTA CONTABIL;CENTRO DE CUSTO
900;900001;99000001000100;01/09/2026;6101;1080;1115.10;1115.10;0.00;129.60;15.68;72.23;310101;
900;900002;99000002000100;02/09/2026;6101;1500;1548.75;1597.50;48.75;180.00;21.78;100.32;310201;
900;900003;99000003000100;03/09/2026;6101;1980;2044.35;2108.70;64.35;237.60;28.75;132.42;310301;
900;900004;99000004000100;04/09/2026;6101;1085;1120.26;1155.52;35.26;0.00;17.19;79.16;310101;
900;900005;99000005000100;05/09/2026;6101;1750;1806.88;1863.76;56.88;70.00;27.72;127.68;310201;
900;900006;99000006000100;06/09/2026;6101;4072.20;4354.53;4498,39;143.86;122.40;65.17;300.18;310301;
900;900007;99000007000100;07/09/2026;6101;836;836;836;0.00;100.32;12.14;55.91;310101;
900;900008;99000008000100;08/09/2026;6101;1092;1092;1092;0.00;131.04;18.02;82.99;310201;
900;900009;99000009000100;09/09/2026;6101;1380;1380;1380;0.00;165.60;20.04;92.29;310301;
900;900010;99000010000100;10/09/2026;6101;1254;1254;1254;0.00;50.16;19.86;91.49;310101;
900;900011;99000011000100;11/09/2026;6101;1786;1786;1786;0.00;71.44;28.29;130.31;310201;
900;900012;99000012000100;13/09/2026;5101;960;960;960;0.00;67.20;14.73;67.85;310301;
900;900013;99000013000100;13/09/2026;5101;1250;1250;1250;0.00;87.50;19.18;88.35;310101;
900;900014;99000014000100;14/09/2026;5101;1560;1560;1560;0.00;109.20;23.94;110.26;310201;
901;900015;99000015000100;15/09/2026;5101;1890;1890;1890;0.00;132.30;29.00;133.59;310301;
900;900016;99000016000100;16/09/2026;5101;2240;2240;2240;0.00;156.80;34.37;158.32;310101;
900;900017;99000017000100;17/09/2026;5101;2610;2610;2610;0.00;182.70;40.05;184.47;310201;
900;900018;99000018000100;18/09/2026;5101;3000;3000;3000;0.00;210.00;46.04;212.04;310301;
900;900019;99000019000100;19/09/2026;5101;3410;3410;3410;0.00;238.70;52.33;241.02;310101;
900;900020;99000020000100;20/09/2026;5101;3840;3840;3840;0.00;268.80;58.92;271.41;310201;
900;900021;99000021000100;21/09/2026;5101;4200;4200;4200;0.00;294.00;64.45;296.86;310301;
900;900022;99000022000100;22/09/2026;5101;4300;4300;4300;0.00;301.00;65.98;303.92;310101;
900;900023;99000023000100;23/09/2026;5101;4400;4400;4400;0.00;308.00;67.52;310.99;310201;
